transaction_id,account_id,booking_date,amount,currency,description,bank_type,counterparty,counterparty_account_id
B001,main,2026-09-01,-100.00,RUB,Продукты,purchase,,
B002,main,2026-09-02,-100.00,RUB,Продукты,purchase,,
B003,main,2026-09-03,-100.00,RUB,Продукты,purchase,,
B004,main,2026-09-04,-100.00,RUB,Продукты,purchase,,
B005,main,2026-09-05,-100.00,RUB,Продукты,purchase,,
B006,main,2026-09-06,-100.00,RUB,Продукты,purchase,,
B007,main,2026-09-07,-100.00,RUB,Продукты,purchase,,
B008,main,2026-09-08,-100.00,RUB,Продукты,purchase,,
B009,main,2026-09-09,-100.00,RUB,Продукты,purchase,,
B010,main,2026-09-10,-100.00,RUB,Продукты,purchase,,
B011,main,2026-09-11,-100.00,RUB,Продукты,purchase,,
B012,main,2026-09-12,-100.00,RUB,Продукты,purchase,,
B013,main,2026-09-13,-100.00,RUB,Продукты,purchase,,
B014,main,2026-09-14,-100.00,RUB,Продукты,purchase,,
B031,main,2026-09-02,1000.00,RUB,Зарплата,salary,,
B032,main,2026-09-05,1000.00,RUB,Зарплата,salary,,
B033,main,2026-09-08,1000.00,RUB,Зарплата,salary,,
B034,main,2026-09-11,1000.00,RUB,Зарплата,salary,,
B035,main,2026-09-14,1000.00,RUB,Зарплата,salary,,
B041,main,2026-09-03,-200.00,RUB,Транспорт,purchase,,
B042,main,2026-09-06,-200.00,RUB,Транспорт,purchase,,
B043,main,2026-09-09,-200.00,RUB,Транспорт,purchase,,
B044,main,2026-09-12,-200.00,RUB,Транспорт,purchase,,
S01,main,2026-09-03,-10000.00,RUB,Перевод на свою карту,transfer,Мой второй счёт,second
S02,second,2026-09-03,10000.00,RUB,Перевод со своей карты,transfer,Мой основной счёт,main
S03,main,2026-09-04,-6000.00,RUB,Пополнение маркетплейса,transfer,Моя карта маркетплейса,market
S04,market,2026-09-04,6000.00,RUB,Пополнение своей карты,transfer,Мой основной счёт,main
S05,market,2026-09-05,-2000.00,RUB,Продукты,purchase,,
S06,market,2026-09-06,-3500.00,RUB,Техника,purchase,,
S07,main,2026-09-07,-3000.00,RUB,Перевод Алексею,transfer,Алексей,
S08,main,2026-09-14,1500.00,RUB,Алексей частичный возврат,transfer,Алексей,
S10,main,2026-09-10,-8000.00,RUB,Ресторан,purchase,,
S11,main,2026-09-11,1600.00,RUB,Друг 1 за ужин,transfer,Друг 1,
S12,main,2026-09-12,1600.00,RUB,Друг 2 за ужин,transfer,Друг 2,
S13,main,2026-09-13,1600.00,RUB,Друг 3 за ужин,transfer,Друг 3,
S14,main,2026-09-14,1600.00,RUB,Друг 4 за ужин,transfer,Друг 4,
S16,main,2026-08-28,-4200.00,RUB,Техника,purchase,,
