transaction_id,account_id,booking_date,amount,currency,description,bank_type,counterparty,counterparty_account_id
B001,main,2026-09-01,-100.00,RUB,Продукты,purchase,,
B002,main,2026-09-02,-100.00,RUB,Продукты,purchase,,
B003,main,2026-09-03,-100.00,RUB,Продукты,purchase,,
B004,main,2026-09-04,-100.00,RUB,Продукты,purchase,,
B005,main,2026-09-05,-100.00,RUB,Продукты,purchase,,
B006,main,2026-09-06,-100.00,RUB,Продукты,purchase,,
B007,main,2026-09-07,-100.00,RUB,Продукты,purchase,,
B008,main,2026-09-08,-100.00,RUB,Продукты,purchase,,
B009,main,2026-09-09,-100.00,RUB,Продукты,purchase,,
B010,main,2026-09-10,-100.00,RUB,Продукты,purchase,,
B011,main,2026-09-11,-100.00,RUB,Продукты,purchase,,
B012,main,2026-09-12,-100.00,RUB,Продукты,purchase,,
B013,main,2026-09-13,-100.00,RUB,Продукты,purchase,,
B014,main,2026-09-14,-100.00,RUB,Продукты,purchase,,
B015,main,2026-09-15,-100.00,RUB,Продукты,purchase,,
B016,main,2026-09-16,-100.00,RUB,Продукты,purchase,,
B017,main,2026-09-17,-100.00,RUB,Продукты,purchase,,
B018,main,2026-09-18,-100.00,RUB,Продукты,purchase,,
B019,main,2026-09-19,-100.00,RUB,Продукты,purchase,,
B020,main,2026-09-20,-100.00,RUB,Продукты,purchase,,
B021,main,2026-09-21,-100.00,RUB,Продукты,purchase,,
B022,main,2026-09-22,-100.00,RUB,Продукты,purchase,,
B023,main,2026-09-23,-100.00,RUB,Продукты,purchase,,
B024,main,2026-09-24,-100.00,RUB,Продукты,purchase,,
B025,main,2026-09-25,-100.00,RUB,Продукты,purchase,,
B026,main,2026-09-26,-100.00,RUB,Продукты,purchase,,
B027,main,2026-09-27,-100.00,RUB,Продукты,purchase,,
B028,main,2026-09-28,-100.00,RUB,Продукты,purchase,,
B029,main,2026-09-29,-100.00,RUB,Продукты,purchase,,
B030,main,2026-09-30,-100.00,RUB,Продукты,purchase,,
B031,main,2026-09-02,1000.00,RUB,Зарплата,salary,,
B032,main,2026-09-05,1000.00,RUB,Зарплата,salary,,
B033,main,2026-09-08,1000.00,RUB,Зарплата,salary,,
B034,main,2026-09-11,1000.00,RUB,Зарплата,salary,,
B035,main,2026-09-14,1000.00,RUB,Зарплата,salary,,
B036,main,2026-09-17,1000.00,RUB,Зарплата,salary,,
B037,main,2026-09-20,1000.00,RUB,Зарплата,salary,,
B038,main,2026-09-23,1000.00,RUB,Зарплата,salary,,
B039,main,2026-09-26,1000.00,RUB,Зарплата,salary,,
B040,main,2026-09-29,1000.00,RUB,Зарплата,salary,,
B041,main,2026-09-03,-200.00,RUB,Транспорт,purchase,,
B042,main,2026-09-06,-200.00,RUB,Транспорт,purchase,,
B043,main,2026-09-09,-200.00,RUB,Транспорт,purchase,,
B044,main,2026-09-12,-200.00,RUB,Транспорт,purchase,,
B045,main,2026-09-15,-200.00,RUB,Транспорт,purchase,,
B046,main,2026-09-18,-200.00,RUB,Транспорт,purchase,,
B047,main,2026-09-21,-200.00,RUB,Транспорт,purchase,,
B048,main,2026-09-24,-200.00,RUB,Транспорт,purchase,,
B049,main,2026-09-27,-200.00,RUB,Транспорт,purchase,,
B050,main,2026-09-30,-200.00,RUB,Транспорт,purchase,,
S01,main,2026-09-03,-10000.00,RUB,Перевод на свою карту,transfer,Мой второй счёт,second
S02,second,2026-09-03,10000.00,RUB,Перевод со своей карты,transfer,Мой основной счёт,main
S03,main,2026-09-04,-6000.00,RUB,Пополнение маркетплейса,transfer,Моя карта маркетплейса,market
S04,market,2026-09-04,6000.00,RUB,Пополнение своей карты,transfer,Мой основной счёт,main
S05,market,2026-09-05,-2000.00,RUB,Продукты,purchase,,
S06,market,2026-09-06,-3500.00,RUB,Техника,purchase,,
S07,main,2026-09-07,-3000.00,RUB,Перевод Алексею,transfer,Алексей,
S08,main,2026-09-14,1500.00,RUB,Алексей частичный возврат,transfer,Алексей,
S09,main,2026-09-21,1500.00,RUB,Алексей возврат,transfer,Алексей,
S10,main,2026-09-10,-8000.00,RUB,Ресторан,purchase,,
S11,main,2026-09-11,1600.00,RUB,Друг 1 за ужин,transfer,Друг 1,
S12,main,2026-09-12,1600.00,RUB,Друг 2 за ужин,transfer,Друг 2,
S13,main,2026-09-13,1600.00,RUB,Друг 3 за ужин,transfer,Друг 3,
S14,main,2026-09-14,1600.00,RUB,Друг 4 за ужин,transfer,Друг 4,
S15,main,2026-09-15,500.00,RUB,Неизвестный отправитель за обед,unknown,Неизвестный,
S16,main,2026-08-28,-4200.00,RUB,Техника,purchase,,
S17,main,2026-09-16,4200.00,RUB,Возврат техники,refund,,
S18,main,2026-09-17,-5000.00,RUB,Снятие наличных,cash_withdrawal,,
S20,main,2026-09-25,12000.00,RUB,Дополнительный доход,salary,,
